text,label
This edtech IPO is listing when the whole sector is contracting globally. Terrible timing.,0
Logistics company with 60% debt to equity ratio asking 70x PE. That math doesn't work at all.,0
Agritech IPO but 90% revenue comes from one state. Geographic concentration is a dealbreaker.,0
Real estate IPO with unsold inventory of 3 years. Market is saturated. Hard skip.,0
Steel company IPO at peak cycle valuation. Commodity stocks should never be bought at peaks.,0
Textile IPO with debtor days of 180. They are practically giving product away on credit. Avoid.,0
Chemical company facing antidumping duty investigation. IPO timing is suspiciously bad.,0
Infrastructure IPO with massive contingent liabilities buried on page 287 of DRHP. Red flag.,0
"Gaming startup IPO with no monetisation model. Users are free, revenue is zero. Skip.",0
OTT platform IPO while Netflix and Amazon are cutting prices. How will they survive? Avoid.,0
Insurance IPO with combined ratio above 110. They literally lose money on every policy. Pass.,0
Hospitality IPO listing right before cyclical slowdown in travel. Terrible timing.,0
"BRLM has handled 9 IPOs this year, 7 listed below issue price. Avoid anything they touch.",0
IPO grading of 2 out of 5 by credit agency. Even the rating agency is saying skip this.,0
Market cap at IPO is 40x annual revenue for a logistics company. Absolutely insane valuation.,0
Going concern note in FY23 audited accounts. They literally flagged survival risk. Still IPO-ing.,0
EPS of Rs 1.2 and IPO price is Rs 480. That's 400x earnings. What are they smoking.,0
RONW of 4% and they want a PE of 85x. Return on equity is lower than FD interest. Skip.,0
Capex-heavy infrastructure model with no free cash flow for next 5 years at least. Avoid.,0
Inventory days of 240 in a perishable agri business. Something is very wrong here.,0
Grey shoe option exercised fully. Underwriters had to support price artificially. Weak demand.,0
Basis of allotment shows only 8% of applicants got shares. Lucky draw for a dud company.,0
ASBA funds held for 7 days due to technical glitch. Even the process is poorly managed.,0
Cut-off price bidding at top of band shows overconfidence. Market will punish this soon.,0
Edtech company burn rate is Rs 18cr per month with Rs 90cr raised. 5 months runway. Skip.,0
Real estate developer IPO but most projects are stuck in RERA disputes. Huge legal risk.,0
Steel IPO when Chinese overcapacity is flooding global markets. Sector headwind is massive.,0
Chemical IPO with environmental clearance pending for main plant. Operations could halt.,0
Gaming IPO with 0 paying users. DAU is high but MAU to paying conversion is literally 0.1%.,0
Media company IPO with content library that's 80% older than 10 years. No fresh investment.,0
Logistics company EBITDA margins at 3.2%. Amazon and Flipkart internal logistics will destroy them.,0
Agritech platform with farmer onboarding subsidy ending next quarter. Revenue will collapse.,0
"Hospitality chain IPO with 4 out of 9 properties leased not owned. Asset-light? No, asset-less.",0
Infrastructure company promoter convicted in a different case 8 years ago. Check the DRHP.,0
OTT IPO with subscriber churn of 65% annually. They replace their entire user base every year.,0
Insurance company with 14 regulatory penalties in 3 years. IRDAI clearly unhappy with them.,0
BRLM downgraded their own price band at last minute. Even they don't believe in this valuation.,0
