text,label
"Wow amazing IPO, love how the promoter has pledged 72 percent of his shares, truly inspiring confidence.",0
"Brilliant GMP of 450, fantastic that the entire amount raised goes straight to promoter exit, not one rupee for capex.",0
"Outstanding subscription of 300x, same investors who dumped everything at listing open and left retail holding 40 percent losses.",0
"Incredible fintech IPO, genuinely love how they burned through 4 CFOs and 2 auditors before filing DRHP.",0
"Superb pharma IPO, wonderfully timed right after their third USFDA import alert in 18 months.",0
Love the aggressive 120x PE valuation on a company with negative operating cash flow for 6 straight quarters.,0
"Beautiful EV story, zero revenue, zero orders, zero factory, but the pitch deck fonts are absolutely premium quality.",0
"Strong anchors, great QIB response, what a shame the DRHP buries the ongoing SEBI investigation on page 389.",0
"Spectacular 200x HNI subscription, really captures the magic of retail applying last and getting allocation after QIBs exit.",0
"Wonderful defence IPO, genuinely impressive that the entire order book is one government contract expiring next quarter.",0
"Excellent decision to value a loss-making SaaS at 80x revenue, retail investors must be thrilled to fund this journey.",0
"Stunning GMP of 600, too bad the grey market operator turns out to be the promoter's brother-in-law.",0
"Fabulous FMCG IPO, love how revenue grew 3 percent over 5 years but the valuation grew 400 percent.",0
"Amazing that QIB subscribed 150x on day one, same QIBs who filed for refund on day three after listing.",0
"Gorgeous prospectus design, really distracts from the 14 related party transactions on page 201 involving promoter entities.",0
"Brilliant move listing at 2x issue price, too bad the company needed to restate financials three months later.",0
"Phenomenal retail response, so heartwarming how 2 million small investors applied for an IPO that listed 35 percent below issue.",0
"Fantastic lock-in expiry coming in 6 months, cannot wait to see how fast promoters exit after that date.",0
"Love this SME IPO, wonderfully packaged, promoter background includes two previous companies that both ended in NCLT proceedings.",0
"Incredible anchor list, every single one of these top-tier funds quietly sold their entire stake on listing day morning.",0
"Magnificent revenue numbers in the DRHP, pity the auditor flagged going concern issues in the very same document.",0
"Great GMP, strong sector tailwind, shame the company has negative net worth that they plan to fix with IPO proceeds.",0
"Splendid subscription numbers, really impressive for a company whose top three customers account for 94 percent of revenue.",0
"Wonderful that promoters are exiting 100 percent of their stake, truly shows their immense faith in the company future.",0
"Lovely IPO timing, right after the sector peaked and started declining, management has exceptional market awareness clearly.",0
"Bold PE valuation of 95x for a business with 2 percent net margin, retail investors should feel honoured to participate.",0
"Terrific SaaS IPO, love how churn rate is conveniently not disclosed anywhere in the 400 page DRHP.",0
"Exceptional subscription momentum, what a coincidence that all the positive news articles appeared simultaneously the morning bidding opened.",0
"Remarkable IPO, the company managed to report three different revenue figures across three different pages of the prospectus.",0
"Brilliant capital allocation, 80 percent of IPO proceeds go to pay off promoter personal loans taken against company assets.",0
"Dazzling GMP, stellar anchors, glowing media coverage, this pharma company also happens to have an ongoing CBI probe.",0
"Masterful timing on this EV IPO, launching right as the government subsidy that funded 90 percent of revenues expired.",0
"Extraordinary investor interest in this fintech, notable that the business model is illegal in 4 of the 8 states it operates.",0
"Glorious FMCG brand, 60 years of heritage, also 60 years of declining market share against modern competitors.",0
Wonderful that management gave themselves 200 crore in salary over 3 years while the company reported losses every quarter.,0
"Astonishing GMP of 500, remarkable given the company's debt-to-equity ratio is 8.4 and interest coverage ratio is 0.6.",0
"Impressive anchor allocation to marquee funds, same funds that have a known practice of flipping on listing day.",0
"Thrilling 180x subscription, the kind of number that makes retail investors feel smart right up until the listing date.",0
"Phenomenal DRHP design, 600 pages is quite the achievement especially since 200 of those pages are risk factors.",0
"Excellent management pedigree, CEO previously ran two companies into the ground but third time is definitely the charm.",0
"Gorgeous sector story, too bad the company's own DRHP projects revenue declining 15 percent for the next two years.",0
"Super exciting IPO from a company that managed to change its business model, CFO, auditor, and registered address all in one year.",0
Lovely that retail investors get the smallest allocation in this IPO while QIBs who need it least get the most.,0
Incredible that the company raised 2000 crore and plans to spend 1800 crore of it buying a loss-making subsidiary from the promoter.,0
"Shining example of Indian entrepreneurship, this founder has pledged 85 percent of shares and taken personal loans against the rest.",0
Exceptional PE ratio of 200x for a company in a commodity business with zero pricing power and falling margins.,0
"Remarkable subscription velocity, HNI borrowed at 10 percent annualised to apply for an IPO offering 6 percent listing gain.",0
"Outstanding SME IPO with 3 market makers, all three happen to be entities connected to the lead manager's parent group.",0
"Majestic debut on the exchanges today with 80 percent listing gain, company has reported losses for 11 consecutive quarters.",0
Spectacular that they managed to get SEBI approval despite the promoter family having 3 ongoing disputes with previous investors.,0
"Brilliant that they call it a technology company, they resell someone else's software and have zero proprietary IP whatsoever.",0
"Wonderful subscription on day 3 after near zero on days 1 and 2, natural organic demand for sure definitely.",0
Exceptional that the independent director chairing the audit committee has been on the board for 18 years continuously.,0
Love how the DRHP says proceeds will be used for general corporate purposes which is code for we have no plan.,0
"Fabulous EV company, groundbreaking innovation being the exact same battery chemistry as Chinese manufacturers from 2019.",0
Great that the valuation assumes the company will capture 30 percent market share by year 5 in a market it does not operate in yet.,0
Superb that all 5 analysts who gave buy ratings work at banks that are co-managers of the very same IPO.,0
"Stellar IPO, very reassuring that the company chose to list during a bear market when institutional appetite is at lows.",0
"Outstanding revenue growth, very impressively achieved by acquiring 3 companies and consolidating their revenues rather than growing organically.",0
Magnificent that the promoter's 19 year old son has been appointed as chief strategy officer at 3 crore annual salary.,0
"Brilliant decision to hire 6 investor relations firms simultaneously, genuine confidence in the product and not panic buying hype.",0
"Superb SME IPO, love how the company was incorporated exactly 3 years before the IPO and has never been audited independently.",0
Fantastic that the lead manager is also the sole anchor investor and also the grey market operator apparently.,0
"Phenomenal asset-light model, very creative to call outsourcing every single function of the business an asset-light model.",0
"Great GMP of 300, fantastic, same grey market showed GMP of 280 for the last IPO that listed at 15 percent discount.",0
Outstanding that management is projecting 10x revenue growth in 3 years in a market growing at 8 percent annually.,0
"Wonderful regulatory clarity for this fintech, by which I mean there is a SEBI circular specifically prohibiting their core product.",0
"Exceptional corporate governance, the company changed its statutory auditor 4 times in 5 years seeking excellence in accounting.",0
"Brilliant listing gain of 120 percent, same company trades at 40 percent below issue price exactly 11 months later.",0
Remarkable that this SaaS company has 200 enterprise clients on their website and 11 actual paying customers in the DRHP.,0
"Love this healthcare IPO, so innovative how they classify regulatory penalties as extraordinary items to improve normalised profit figures.",0
"Superb management, very impressive that the founding team has collectively filed 4 patents and none of them have been granted.",0
"Great defence IPO, exciting that their only client is a ministry whose budget has been cut 30 percent in the latest estimate.",0
Wonderful that the promoter's exit means retail investors get to own shares in a company the founder himself does not want anymore.,0
"Outstanding FMCG IPO, inspiring how a brand that was number one in 1998 has maintained that positioning through aggressive nostalgia marketing.",0
Spectacular that the IPO is priced at 3x the valuation at which the PE fund invested 8 months ago.,0
Love how this company calls its basic Excel-based reporting tool a proprietary AI-powered analytics platform in the DRHP.,0
Brilliant that they disclosed all the SEBI notices in a 2 point font on page 412 of a 450 page prospectus.,0
"Tremendous GMP, very exciting, this is the same grey market that showed 500 GMP for an IPO that listed flat.",0
Amazing that 3 of the 5 independent directors attended zero board meetings in the last year but are described as actively engaged.,0
Superb that the auditor signed off on accounts where cash and bank balance increased by 400 crore with no corresponding activity.,0
"Excellent corporate governance, promoter transferred the company's best asset to his personal HUF two years before the IPO.",0
"Fantastic EV story, very innovative approach of generating revenue by selling cars to your own group companies at above market rates.",0
Outstanding that the DRHP mentions 23 separate risk factors related to regulatory compliance because that shows how thorough they are.,0
"Impressive GMP trajectory, jumping from 100 to 400 in one week right before IPO opens, definitely organic retail demand.",0
Wonderful that this tech IPO's founder left after listing and the entire product team resigned within 3 months of IPO.,0
Terrific that the company's revenue projections in the DRHP match exactly what is needed to justify the issue price.,0
"Brilliant fintech, love how they describe regulatory rejection of their product in 3 states as temporary operational adjustments.",0
"Great that the lead banker published a 100 percent upside target price the day before IPO opened, very objective research.",0
"Superb management pedigree, previous company founded by same promoter was delisted after exchange noticed unusual accounting practices.",0
"Spectacular SME board IPO, love that it has daily circuit filters of 5 percent which will make exiting completely straightforward.",0
Incredible that all the social media buzz for this IPO appeared to originate from accounts created in the last 30 days.,0
"Wonderful that the company's registered office, corporate office, and promoter's residential address are all the same apartment in Mumbai.",0
Outstanding that the BRLM published a report calling this IPO a generational opportunity while earning 3 percent of issue proceeds.,0
